	ID SoloTodo	Categoría	ID Categoría	Subcategoría	Ordenamiento Principal	Ordenamiento Categoría	Modelo	Título personalizado	Descripción personalizada	Ficha personalizada 1	Ficha personalizada 2	Ficha personalizada 3	Foto Principal	Fotos Secundarias	URL LG	MPN Flixmedia
OLED55B7P + LED 55" UHD 4K 55UK6200	52923	Televisores	11	OLED 4K		25	OLED55B7P	SMART TV OLED 55"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1m_jEEpcD307ipMkRy6LP4xZK1o-W4_BO	https://drive.google.com/open?id=1wFa-kZgxzfhlWRWhAgbqR_qBHTPPAJ1p	https://www.lg.com/cl/televisores/lg-OLED55B7P	OLED55B7P
OLED55B8SSC + LED 55'' UHD 4K 55UK6200	52814	Televisores	11	OLED 4K		26	OLED55B8SSC	SMART TV OLED 55"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=19B5cSFklQiYpqKmqyX9MNuupfduwqQEG	https://drive.google.com/open?id=17JLez69O8PAxK7DwOIJybGsdDWpUxdnv	https://www.lg.com/cl/televisores/lg-OLED55B8SSC	OLED55B8SSC
OLED55B8SSC + LED 55'' UHD 4K 55UK6350	52839	Televisores	11	OLED 4K		27	OLED55B8SSC	SMART TV OLED 55"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1xeKrz7lBPDuvU_lrIO7__w_Zy94XuqRF	https://drive.google.com/open?id=1cGSvdq7ALWJFNno-UEq1l77ShHYt7ZzF	https://www.lg.com/cl/televisores/lg-OLED55B8SSC	OLED55B8SSC
OLED65C8PSA + LED 55" UHD 4K 55UK6200	52924	Televisores	11	OLED 4K		28	OLED65C8PSA	SMART TV OLED 65"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1C-hUEy2ltkWL17naMSMYZl8BDzcLJ0Q2	https://drive.google.com/open?id=1_RWQ09tyvY5FQJTzSYQoCmWP0z9hd5yv	https://www.lg.com/cl/televisores/lg-OLED65C8PSA	OLED65C8PSA
OLED65C8PSA + LED 55" UHD 4K 55UK6350PSA	53139	Televisores	11	OLED 4K		29	OLED65C8PSA	SMART TV OLED 65"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1tPyxfJM-fUtrwGaq-inYEn6WWq-gNKhv	https://drive.google.com/open?id=1_RWQ09tyvY5FQJTzSYQoCmWP0z9hd5yv	https://www.lg.com/cl/televisores/lg-OLED65C8PSA	OLED65C8PSA
OLED65W8PSA + LED 60'' UHD 4K 60UK6200PSA	53140	Televisores	11	OLED 4K		30	OLED65W8	SMART TV OLED 65"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1WUe2E6RT3lvodkku5d0ewuF_w3rhSuEF	https://drive.google.com/open?id=1QOF_dDMv8294H60GOMrC-Ke9s77rQhlp	https://www.lg.com/cl/televisores/lg-OLED65W8PSA	OLED65W8PSA
OLED55B8SSC	50129	Televisores	11	OLED 4K	1	31	OLED55B8SSC	SMART TV OLED 55"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1QNen5MH8J2Pc2Sp_MemRaKo8akfL6CLR	https://drive.google.com/open?id=17JLez69O8PAxK7DwOIJybGsdDWpUxdnv	https://www.lg.com/cl/televisores/lg-OLED55B8SSC	OLED55B8SSC
OLED55C8PSA	45897	Televisores	11	OLED 4K		32	OLED55C8	SMART TV OLED 55"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1wcO6KVq01X-WTWcFjOpdgs_f03SJSB_4	https://drive.google.com/open?id=1_RWQ09tyvY5FQJTzSYQoCmWP0z9hd5yv	https://www.lg.com/cl/televisores/lg-OLED55C8PSA	OLED55C8PSA
OLED65C8PSA	48263	Televisores	11	OLED 4K		33	OLED65C8PSA	SMART TV OLED 65"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1wcO6KVq01X-WTWcFjOpdgs_f03SJSB_4	https://drive.google.com/open?id=1_RWQ09tyvY5FQJTzSYQoCmWP0z9hd5yv	https://www.lg.com/cl/televisores/lg-OLED65C8PSA	OLED65C8PSA
OLED65E8PSA	48264	Televisores	11	OLED 4K		34	OLED65E8PSA	SMART TV OLED 65"		Tecnología OLED	Generación 2018	Incluye Magic Remote			https://www.lg.com/cl/televisores/lg-OLED65E8PSA	OLED65E8PSA
OLED65W8PSA	45898	Televisores	11	OLED 4K		35	OLED65W8	SMART TV OLED 65"		Tecnología OLED	Generación 2018	Incluye Magic Remote	https://drive.google.com/open?id=1sf2jx5VEbzTQEw0qCzk1Uj1YD6jX0W8Y	https://drive.google.com/open?id=1QOF_dDMv8294H60GOMrC-Ke9s77rQhlp	https://www.lg.com/cl/televisores/lg-OLED65W8PSA	OLED65W8PSA
49LK5400PSA	50128	Televisores	11	Full HD		36	49LK5400PSA	SMART TV LED 49" FHD		Tecnología Full HD	Generación 2018		https://drive.google.com/open?id=1aguaj3cRhNjjqrv-geWL6Xn-qu49aVmF	https://drive.google.com/open?id=1MhUcS462eMt3WBsKvEWzW1o1AYbtdro2	https://www.lg.com/cl/televisores/lg-49LK5400PSA	49LK5400PSA
43LK5700PSC	45908	Televisores	11	Full HD		37	43LK5700	SMART TV LED 43" FHD		Tecnología Full HD	Generación 2018		https://drive.google.com/open?id=1K5rJicm5cjfnMV25sYbsmk9JAqFGCLjM	https://drive.google.com/open?id=1l2Ssan__4hE3SesKDG_V6JdkgJE2LRF7	https://www.lg.com/cl/televisores/lg-43LK5700PSC	43LK5700PSC
49LK5700PSC	45934	Televisores	11	Full HD		38	49LK5700	SMART TV LED 49" FHD 1080p		Tecnología Full HD	Generación 2018		https://drive.google.com/open?id=1K5rJicm5cjfnMV25sYbsmk9JAqFGCLjM	https://drive.google.com/open?id=1l2Ssan__4hE3SesKDG_V6JdkgJE2LRF7	https://www.lg.com/cl/televisores/lg-49LK5700PSC	49LK5700PSC
32LK540BPSA	48258	Televisores	11	HD		39	32LK540BPSA	SMART TV LED 32'' HD 720p		Tecnología HD	Generación 2018		https://drive.google.com/open?id=102BJa7YMlLlze3ojZ5BuiKOCw4ARk2qG	https://drive.google.com/open?id=1C6bNKFntwueuISONI9_Z2v1ywwKux2La	https://www.lg.com/cl/televisores/lg-32LK540BPSA	32LK540BPSA
32LK610BPSA	46274	Televisores	11	HD		40	32LK610B	SMART TV LED 32" HD 720p		Tecnología HD	Generación 2018		https://drive.google.com/open?id=10ZRhg6lWCakpDZwnBBuVPXQk6fHjFpyV	https://drive.google.com/open?id=1EcX2GwzGXKZup6r-b9gjXIsXd4BCrTQX	https://www.lg.com/cl/televisores/lg-32LK610BPSA	32LK610BPSA
43UJ6300	35563	Televisores	11	UHD 4K		41	43UJ6300	SMART TV LED 43" 4K UHD	43 pulgadas, Ultra HD 4K, amplio ángulo de visión, HDR activo,Ultra Surround, sistema operativo webOS 3.5	Tecnología UHD	Generación 2017		https://drive.google.com/open?id=1dj9brUyzYjGPZnJXgJ3RrWb3y0pN9j8W	https://drive.google.com/open?id=1NwsaROyNlONvGWTFcpsXlKjisoLwcCcn	https://www.lg.com/cl/televisores/lg-43UJ6300	43UJ6300
49UJ6300	35564	Televisores	11	UHD 4K		42	49UJ6300	SMART TV LED 49" 4K UHD	49 pulgadas, Ultra HD 4K, amplio ángulo de visión, HDR activo,Ultra Surround, sistema operativo webOS 3.5	Tecnología UHD	Generación 2017		https://drive.google.com/open?id=1dj9brUyzYjGPZnJXgJ3RrWb3y0pN9j8W	https://drive.google.com/open?id=1NwsaROyNlONvGWTFcpsXlKjisoLwcCcn	https://www.lg.com/cl/televisores/lg-49UJ6300	49UJ6300
55UJ6300	35656	Televisores	11	UHD 4K		43	55UJ6300	SMART TV LED 55" 4K UHD	55 pulgadas, Ultra HD 4K, amplio ángulo de visión, HDR activo,Ultra Surround, sistema operativo webOS 3.5	Tecnología UHD	Generación 2017		https://drive.google.com/open?id=1dj9brUyzYjGPZnJXgJ3RrWb3y0pN9j8W	https://drive.google.com/open?id=1NwsaROyNlONvGWTFcpsXlKjisoLwcCcn	https://www.lg.com/cl/televisores/lg-55UJ6300	55UJ6300
